Removed Pin From Net: NetName=GND Pin=R2-1
Removed Member From Class: ClassName=M1 Design Member=Rx7
Removed Member From Class: ClassName=M1 Design Member=Rx8
Change Component Footprint: Designator=U1 Old Footprint=ADI-R-8_M New Footprint=P0008A
Change Component Footprint: Designator=R2 Old Footprint=FP-CRCW0805-e3-MFG New Footprint=FP-ERA2A-MFG
Change Component Comment : Designator=U1 Old Comment=AD8066ARZ-R7 New Comment=LM741CN/NOPB
Change Component Comment : Designator=C1 Old Comment=CC0603JRNPO9BN101 New Comment=100p
Change Component Comment : Designator=R2 Old Comment=CRCW080530R0FKEA New Comment=3.3k
Change Component Comment : Designator=C2 Old Comment=GRM1555C1H391JA01D New Comment=390p
Change Component Comment : Designator=C3 Old Comment=GRM1555C1H391JA01D New Comment=390p
Change Component Comment : Designator=L1 Old Comment=LQW15CA2R0K00D New Comment=2u
Change Component Comment : Designator=L2 Old Comment=LQW15CAR50J00D New Comment=500n
Change Component Comment : Designator=L3 Old Comment=LQW15CAR50J00D New Comment=500n
Change Component Comment : Designator=R1 Old Comment=RC0402JR-0724RL New Comment=24
Change Managed Component Library Link : Designator=R2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F20FB587-8D02-4E52-8B21-838F3EF5EE45 New ItemGUID=307F3841-FA1A-4EB3-BEDF-C7C9B9D18CEB Old RevisionGUID=119598A5-61E1-4227-BD21-3546392F99FA New RevisionGUID=889665CF-B25A-4E90-8233-E026D5BDCEE6
Change Managed Component Library Link : Designator=U1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=17717F7B-84A2-43DB-87C9-B99E61A4A3F8 New ItemGUID=4960B38A-7780-4A54-8E48-6B73254E80ED Old RevisionGUID=B0E897E5-A922-4BCD-9C2F-8AC4FD8F0AB7 New RevisionGUID=BE3B0EAA-2F2C-4F87-9FCC-D7023079F6C7
Change component parameters: Designator = "R2" ("R2"); Footprint = "FP-CRCW0805-e3-MFG"; UniqueID = "\NYORREUJ" ("\NYORREUJ")
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Schedule B"; Value = "8533210045, 8533210045"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "25ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "793.786648µg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "500µm"; VariantName = "[No Variations]"
Change component parameters: Designator = "U1" ("U1"); Footprint = "ADI-R-8_M"; UniqueID = "\MDSBBZWD" ("\MDSBBZWD")
Change component parameters (AddParameter): Name = "Code_IPC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Code_JEDEC"; Value = "MS-001-BA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Code_JEITA"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=LM741&fileType=pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CompType"; Value = "Amplifiers"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "High-Reliability"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "P0008A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "MDIP, .365 x .250 x .130in, 8 Lead, .100in Pitch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageTopMarking"; Value = "NSUZXYTTE#*LM*741CN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PinCount"; Value = "8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerWise"; Value = "N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Y"; VariantName = "[No Variations]"
Added Component: Designator=C4(CAPC3216X110X50LL20T25)
Add component (AddParameter): Name = "Brand"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "1uF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance - nF"; Value = "1000nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code - in"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code - mm"; Value = "3216"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Length"; Value = "3.2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Width"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Class"; Value = "Class1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.kemet.com/docfinder?Partnumber=C1206C105K5RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "02/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions"; Value = "1.6mmWx3.2mmLx1mmH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Factory Pack Quantity"; Value = "2500"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.kemet.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Maximum Operating Temperature"; Value = "+125C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Operating Temperature"; Value = "-55C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Range"; Value = "-55Cto+125C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "1206(3216metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 3.2 x 1.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product"; Value = "GeneralTypeMLCCs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Category"; Value = "MultilayerCeramicCapacitorsMLCC-SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Details"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "C1206C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient / Code"; Value = "+/-15%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination Style"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "SMDMLCCX7R6.3-250VDCCommericalGrade"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating DC"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C5(CAPC3216X110X50LL20T25)
Add component (AddParameter): Name = "Brand"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "1uF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance - nF"; Value = "1000nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code - in"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code - mm"; Value = "3216"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Length"; Value = "3.2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Width"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Class"; Value = "Class1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.kemet.com/docfinder?Partnumber=C1206C105K5RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "02/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions"; Value = "1.6mmWx3.2mmLx1mmH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Factory Pack Quantity"; Value = "2500"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.kemet.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Maximum Operating Temperature"; Value = "+125C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Operating Temperature"; Value = "-55C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Range"; Value = "-55Cto+125C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "1206(3216metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 3.2 x 1.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product"; Value = "GeneralTypeMLCCs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Category"; Value = "MultilayerCeramicCapacitorsMLCC-SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Details"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "C1206C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient / Code"; Value = "+/-15%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination Style"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "SMDMLCCX7R6.3-250VDCCommericalGrade"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating DC"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=R3(RESC1005X40X25NL10T10)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERA-2AEB753X"; VariantName = "[No Variations]"
Added Component: Designator=R4(RESC1005X40X25NL05T10)
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo / Phycomp"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RC0402JR-07100RL"; VariantName = "[No Variations]"
Added Component: Designator=R5(RESC1005X40X25LL05T10)
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo / Phycomp"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RC0402JR-071KL"; VariantName = "[No Variations]"
Added Component: Designator=R6(FP-ALN2512-MFG)
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetJ3_2 Pin=R3-2
Added Pin To Net: NetName=GND Pin=R4-1
Added Pin To Net: NetName=GND Pin=R5-1
Added Pin To Net: NetName=GND Pin=R6-2
Added Pin To Net: NetName=GND Pin=U1-4
Added Pin To Net: NetName=NetJ3_2 Pin=U1-7
Added Pin To Net: NetName=NetC4_1 Pin=C4-1
Added Pin To Net: NetName=NetC4_1 Pin=R2-2
Added Pin To Net: NetName=NetC4_1 Pin=U1-6
Added Net: Name=NetC4_1
Added Pin To Net: NetName=NetC4_2 Pin=C4-2
Added Pin To Net: NetName=NetC4_2 Pin=R6-1
Added Net: Name=NetC4_2
Added Pin To Net: NetName=NetC5_2 Pin=C5-2
Added Pin To Net: NetName=NetC5_2 Pin=R3-1
Added Pin To Net: NetName=NetC5_2 Pin=R5-2
Added Pin To Net: NetName=NetC5_2 Pin=U1-3
Added Net: Name=NetC5_2
Added Pin To Net: NetName=NetR2_1 Pin=R2-1
Added Pin To Net: NetName=NetR2_1 Pin=R4-2
Added Pin To Net: NetName=NetR2_1 Pin=U1-2
Added Net: Name=NetR2_1
Added Member To Class: ClassName=M1 Design Member=Component C4 1u
Added Member To Class: ClassName=M1 Design Member=Component C5 1u
Added Member To Class: ClassName=M1 Design Member=Component R3 75k
Added Member To Class: ClassName=M1 Design Member=Component R4 100
Added Member To Class: ClassName=M1 Design Member=Component R5 1k
Added Member To Class: ClassName=M1 Design Member=Component R6 50
